Fuente:SENAMHI / DRD;;;;
* Datos sin control de calidad.;;;;
* El uso de estos datos será de entera responsabilidad del usuario.;;;;
;;;;
Leyenda:* S/D = Sin Datos.;;;;
* T = Trazas (Precipitación < 0.1 mm/día).;;;;
;;;;
,Estación:PORCULLA;;;;
,Departamento:PIURA,Provincia:HUANCABAMBA,Distrito:HUARMACA;;;;
,Latitud:5Â°50'22.7'',Longitud:79Â°30'20.6'',Altitud:2142,msnm.;;;;
,Tipo:PLU,-Meteorológica,Código:100105;;;;
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día);;;;
MAX,MIN,TOTAL;;;;
DIA/MES/AÑO;MAX;MIN;HUMEDAD;PRECIPITACION 
1/06/2019;0;0;0;0.0
2/06/2019;0;0;0;0.0
3/06/2019;0;0;0;0.8
4/06/2019;0;0;0;0.0
5/06/2019;0;0;0;0.0
6/06/2019;0;0;0;0.0
7/06/2019;0;0;0;0.0
8/06/2019;0;0;0;0.7
9/06/2019;0;0;0;0.0
10/06/2019;0;0;0;0.0
11/06/2019;0;0;0;0.0
12/06/2019;0;0;0;0.0
13/06/2019;0;0;0;0.0
14/06/2019;0;0;0;0.0
15/06/2019;0;0;0;0.0
16/06/2019;0;0;0;0.0
17/06/2019;0;0;0;0.0
18/06/2019;0;0;0;0.0
19/06/2019;0;0;0;0.0
20/06/2019;0;0;0;0.0
21/06/2019;0;0;0;0.0
22/06/2019;0;0;0;0.0
23/06/2019;0;0;0;0.0
24/06/2019;0;0;0;0.0
25/06/2019;0;0;0;0.0
26/06/2019;0;0;0;0.0
27/06/2019;0;0;0;0.0
28/06/2019;0;0;0;0.0
29/06/2019;0;0;0;0.0
30/06/2019;0;0;0;0.0
